Power(W), Current(A), Energy(kWH), Time(mS)
251, 1.156, 11207.906, 1555069845064
258, 1.184, 11207.906, 1555069845681
258, 1.184, 11207.906, 1555069846291
273, 1.250, 11207.906, 1555069846904
273, 1.250, 11207.906, 1555069847512
273, 1.250, 11207.906, 1555069848112
273, 1.250, 11207.906, 1555069848713
273, 1.250, 11207.906, 1555069849312
273, 1.250, 11207.906, 1555069849910
273, 1.250, 11207.906, 1555069850507
273, 1.250, 11207.906, 1555069851104
273, 1.250, 11207.906, 1555069851705
273, 1.250, 11207.906, 1555069852310
273, 1.250, 11207.906, 1555069852927
273, 1.250, 11207.906, 1555069853539
273, 1.248, 11207.906, 1555069854150
273, 1.249, 11207.906, 1555069854762
273, 1.249, 11207.906, 1555069855363
272, 1.247, 11207.906, 1555069855980
274, 1.255, 11207.906, 1555069856588
274, 1.255, 11207.906, 1555069857209
274, 1.253, 11207.907, 1555069857808
274, 1.253, 11207.907, 1555069858411
274, 1.254, 11207.907, 1555069859021
274, 1.254, 11207.907, 1555069859632
274, 1.254, 11207.907, 1555069860243
274, 1.256, 11207.907, 1555069860859
274, 1.256, 11207.907, 1555069861475
274, 1.257, 11207.907, 1555069862090
273, 1.251, 11207.907, 1555069862695
273, 1.251, 11207.907, 1555069863296
272, 1.249, 11207.907, 1555069863898
272, 1.249, 11207.907, 1555069864505
273, 1.250, 11207.907, 1555069865114
272, 1.248, 11207.907, 1555069865718
272, 1.248, 11207.907, 1555069866316
272, 1.249, 11207.907, 1555069866920
273, 1.249, 11207.907, 1555069867532
273, 1.249, 11207.907, 1555069868132
273, 1.250, 11207.907, 1555069868737
273, 1.250, 11207.907, 1555069869351
273, 1.249, 11207.907, 1555069869970
273, 1.250, 11207.908, 1555069870577
273, 1.250, 11207.908, 1555069871191
273, 1.251, 11207.908, 1555069871813
273, 1.251, 11207.908, 1555069872422
273, 1.253, 11207.908, 1555069873044
273, 1.253, 11207.908, 1555069873663
273, 1.253, 11207.908, 1555069874279
274, 1.257, 11207.908, 1555069874892
274, 1.257, 11207.908, 1555069875501
274, 1.257, 11207.908, 1555069876113
273, 1.253, 11207.908, 1555069876732
273, 1.253, 11207.908, 1555069877341
273, 1.253, 11207.908, 1555069877953
274, 1.255, 11207.908, 1555069878560
274, 1.255, 11207.908, 1555069879160
273, 1.252, 11207.908, 1555069879781
273, 1.252, 11207.908, 1555069880391
274, 1.255, 11207.908, 1555069880996
273, 1.252, 11207.908, 1555069881606
273, 1.252, 11207.908, 1555069882227
274, 1.256, 11207.908, 1555069882833
274, 1.256, 11207.908, 1555069883439
274, 1.256, 11207.909, 1555069884041
274, 1.258, 11207.909, 1555069884642
274, 1.258, 11207.909, 1555069885252
274, 1.256, 11207.909, 1555069885847
274, 1.256, 11207.909, 1555069886456
273, 1.255, 11207.909, 1555069887060
273, 1.251, 11207.909, 1555069887680
273, 1.251, 11207.909, 1555069888293
274, 1.255, 11207.909, 1555069888911
274, 1.255, 11207.909, 1555069889514
273, 1.253, 11207.909, 1555069890130
274, 1.252, 11207.909, 1555069890741
274, 1.252, 11207.909, 1555069891353
273, 1.252, 11207.909, 1555069891962
273, 1.252, 11207.909, 1555069892572
273, 1.250, 11207.909, 1555069893179
273, 1.248, 11207.909, 1555069893788
273, 1.248, 11207.909, 1555069894389
273, 1.248, 11207.909, 1555069895008
273, 1.247, 11207.909, 1555069895615
273, 1.247, 11207.909, 1555069896217
273, 1.248, 11207.910, 1555069896822
273, 1.248, 11207.910, 1555069897434
273, 1.247, 11207.910, 1555069898048
273, 1.246, 11207.910, 1555069898659
273, 1.246, 11207.910, 1555069899276
273, 1.247, 11207.910, 1555069899877
273, 1.247, 11207.910, 1555069900491
273, 1.247, 11207.910, 1555069901101
274, 1.248, 11207.910, 1555069901723
274, 1.248, 11207.910, 1555069902325
273, 1.248, 11207.910, 1555069902926
275, 1.248, 11207.910, 1555069903544
275, 1.253, 11207.910, 1555069904162
275, 1.254, 11207.910, 1555069904767
275, 1.254, 11207.910, 1555069905383
